id,code,name,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2,source,Other cat
1,BTH,ble_tendre_hiver,1,ble,ble_tendre,1,BTH,ble_tendre_hiver,rpg,
2,BTP,ble_tendre_printemps,1,ble,ble_tendre,2,BTP,ble_tendre_printemps,rpg,
3,MID,mais_doux,2,mais,mais,3,MID,mais_doux,rpg,
4,MIE,mais_ensilage,2,mais,mais,4,MIE,mais_ensilage,rpg,
5,MIS,mais_grain_semence,2,mais,mais,5,MIS,mais_grain_semence,rpg,
6,ORH,orge_hiver,3,orge,orge,6,ORH,orge_hiver,rpg,
7,ORP,orge_printemps,3,orge,orge,7,ORP,orge_printemps,rpg,
8,AVH,avoine_hiver,4,cer_2nd,autres_cereales,8,AVH,avoine_hiver,rpg,
9,AVP,avoine_printemps,4,cer_2nd,autres_cereales,9,AVP,avoine_printemps,rpg,
10,BDH,ble_dur_hiver,4,cer_2nd,autres_cereales,10,BDH,ble_dur_hiver,rpg,
11,BDP,ble_dur_printemps,4,cer_2nd,autres_cereales,11,BDP,ble_dur_printemps,rpg,
12,BDT,ble_dur_printemps_tardif,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
13,CAG,autre_cereale_autre_genre,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
14,CGF,autre_cereale_genre_fagopyrum,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
15,CGH,autre_cereale_genre_phalaris,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
16,CGO,autre_cereale_genre_sorghum,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
17,CGP,autre_cereale_genre_panicum,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
18,CGS,autre_cereale_genre_setaria,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
19,MCR,melange_cereales,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,rpg,
20,CAH,autre_cereale_secondaire_hiver,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,rpg,
21,CHA,autre_cereale_hiver_genre_avena,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,rpg,
22,CHH,autre_cereale_hiver_genre_hordeum,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,rpg,
23,CHS,autre_cereale_hiver_genre_secale,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,rpg,
24,CHT,autre_cereale_hiver_genre_triticum,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,rpg,
25,EPE,epeautre,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,rpg,
26,SGH,seigle_hiver,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,rpg,
27,CPA,autre_cereale_printemps_genre_avena,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
28,CPH,autre_cereale_printemps_genre_hordeum,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
29,CPS,autre_cereale_printemps_genre_secale,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
30,CPT,autre_cereale_printemps_genre_triticum,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
31,CPZ,autre_cereale_printemps_genre_zea,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
32,MCS,melange_cereales_printemps,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
33,MLT,millet,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
34,SGP,seigle_printemps,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
35,SRS,sarrasin,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,rpg,
36,SOG,sorgho,4,cer_2nd,autres_cereales,15,SOG,sorgho,rpg,
37,TTH,triticale_hiver,4,cer_2nd,autres_cereales,16,TTH,triticale_hiver,rpg,
38,TTP,triticale_printemps,4,cer_2nd,autres_cereales,17,TTP,triticale_printemps,rpg,
39,CZH,colza_hiver,5,colz,colza,18,CZH,colza_hiver,rpg,
40,CZP,colza_printemps,5,colz,colza,19,olea,autres_oleagineux,rpg,
41,TRN,tournesol,6,TRN,tournesol,20,TRN,tournesol,rpg,
42,ARA,arachide,7,olea,autres_oleagineux,21,olea,autres_oleagineux,rpg,
43,LIH,lin_non_textile_hiver,7,olea,autres_oleagineux,22,lin_non_text,lin_non_textile,rpg,
44,LIP,lin_non_textile_printemps,7,olea,autres_oleagineux,22,lin_non_text,lin_non_textile,rpg,
45,MOL,melange_oleagineux,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
46,NVE,navette_ete,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
47,NVH,navette_hiver,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
48,OAG,autre_oleagineux_autre_genre,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
49,OEH,autre_oleagineux_helianthus,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
50,OEI,oeillette,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
51,OHN,autre_oleagineux_hiver_brassica_napus,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
52,OHR,autre_oleagineux_hiver_brassica_rapa,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
53,OPN,autre_oleagineux_printemps_brassica_napus,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
54,OPR,autre_oleagineux_printemps_brassica_rapa,7,olea,autres_oleagineux,23,olea,autres_oleagineux,rpg,
55,SOJ,soja,7,olea,autres_oleagineux,24,SOJ,soja,rpg,
56,FEV,feve,8,prot,proteagineux,25,prot,proteagineux,rpg,
57,FVL,feverole_avant_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
58,FVP,feverole_printemps,8,prot,proteagineux,25,prot,proteagineux,rpg,
59,FVT,feverole_apres_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
60,LDH,lupin_doux_hiver,8,prot,proteagineux,25,prot,proteagineux,rpg,
61,LDP,lupin_doux_printemps_avant_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
62,LDT,lupin_doux_printemps_apres_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
63,MPC,melange_proteagineux_avant_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
64,MPP,melange_proteagineux,8,prot,proteagineux,25,prot,proteagineux,rpg,
65,MPT,melange_proteagineux_apres_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
66,PAG,autre_proteagineux_autre_genre,8,prot,proteagineux,25,prot,proteagineux,rpg,
67,PHI,pois_hiver,8,prot,proteagineux,25,prot,proteagineux,rpg,
68,PPR,pois_printemps_avant_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
69,PPT,pois_printemps_apres_juin,8,prot,proteagineux,25,prot,proteagineux,rpg,
70,CHV,chanvre,9,plte_fb,plante_a_fibre,26,CHV,chanvre,rpg,
71,CSE,chanvre_sans_etiquette,9,plte_fb,plante_a_fibre,26,CHV,chanvre,rpg,
72,LIF,lin_fibres,9,plte_fb,plante_a_fibre,27,LIF,lin_fibres,rpg,
73,J5M,jachere_temporaire,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,rpg,
74,J6P,jachere_permanente,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,rpg,
75,J6S,jachere_sie,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,rpg,
76,JAC,jachere,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,rpg,
77,JNO,jachere_noire,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,rpg,
78,RIZ,riz,14,riz,riz,29,riz,riz,rpg,
79,LEC,lentille_cultivee_non_fourragere,15,leg_gr,legumineuses_graines,30,leg_gr,legumineuses_graines,rpg,
80,PCH,pois_chiche,15,leg_gr,legumineuses_graines,30,leg_gr,legumineuses_graines,rpg,
81,AFG,autre_fourrage_annuel_autre,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
82,BVF,betterave_fourragere,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
83,CAF,carotte_fourragere,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
84,CHF,chou_fourrager,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
85,FAG,autre_fourrage_annuel_autre_genre,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
86,FSG,autre_plante_fourragere_sarclee_autre_genre,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
87,GAI,gaillet,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
88,NVF,navet_fourrager,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
89,RDF,radis_fourrager,16,fou,fourrage,31,fou_autres,fourrage_autres,rpg,
90,CPL,fourrage_compose,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
91,FF5,feverole_fourragere_2015,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
92,FF6,feverole_fourragere_2016,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
93,FF7,feverole_fourragere_2017,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
94,FF8,feverole_fourragere_2018,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
95,FFO,autre_feverole_fourragere,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
96,GES,gesse,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
97,JO5,jarosse_2015,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
98,JO6,jarosse_2016,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
99,JO7,jarosse_2017,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
100,JO8,jarosse_2018,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
101,JOD,jarosse_deshyd,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
102,JOS,autre_jarosse,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
103,LEF,lentille_fourragere,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,rpg,
